quiz_date,idx,type,prompt,option_a,option_b,option_c,option_d,answer,explanation
2025-08-18,1,mcq,"If you go to the mall with $10 to buy a car, how many cars do you return with?",0,1,Half a car,Depends on sale season,0,Cars cost more than $10. Unless it’s a toy.
2025-08-18,2,mcq,Which capital is correct for Australia?,Sydney,Melbourne,Canberra,Perth,Canberra,Canberra has been the capital since 1913.
2025-08-18,3,mcq,"Odd one out: Apple, Banana, Mango, Potato",Apple,Banana,Mango,Potato,Potato,"Potato is an underground stem, not a fruit."
2025-08-18,4,mcq,What does CPU stand for?,Central Processing Unit,Computer Primary Unit,Core Processing Utility,Central Peripheral Unit,Central Processing Unit,The brain of the computer.
2025-08-18,5,mcq,What does CPU stand for?,Central Processing Unit,Computer Primary Unit,Core Processing Utility,Central Peripheral Unit,Central Processing Unit,The brain of the computer.
2025-08-19,1,mcq,How many minutes are there in one day?,"1,440","1,200","1,600","24,000","1,440","24 hours × 60 minutes = 1,440."
2025-08-19,2,mcq,"Odd one out: Apple, Banana, Mango, Potato",Apple,Banana,Mango,Potato,Potato,"Potato is an underground stem, not a fruit."
2025-08-19,3,mcq,Bananas are botanically considered a…,Berry,Tree,Vegetable,Nut,Berry,Bananas are berries; strawberries aren’t.
2025-08-19,4,mcq,Which capital is correct for Australia?,Sydney,Melbourne,Canberra,Perth,Canberra,Canberra has been the capital since 1913.
2025-08-19,5,mcq,"If you go to the mall with $10 to buy a car, how many cars do you return with?",0,1,Half a car,Depends on sale season,0,Cars cost more than $10. Unless it’s a toy.
2025-08-20,1,mcq,Bananas are botanically considered a…,Berry,Tree,Vegetable,Nut,Berry,Bananas are berries; strawberries aren’t.
2025-08-20,2,mcq,What does CPU stand for?,Central Processing Unit,Computer Primary Unit,Core Processing Utility,Central Peripheral Unit,Central Processing Unit,The brain of the computer.
2025-08-20,3,mcq,"On the Moon, if you drop a feather and a hammer, which lands first?",Feather,Hammer,They land together,They float,They land together,No air resistance; Apollo 15 demo.
2025-08-20,4,mcq,What does CPU stand for?,Central Processing Unit,Computer Primary Unit,Core Processing Utility,Central Peripheral Unit,Central Processing Unit,The brain of the computer.
2025-08-20,5,mcq,What does CPU stand for?,Central Processing Unit,Computer Primary Unit,Core Processing Utility,Central Peripheral Unit,Central Processing Unit,The brain of the computer.
